YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,STUDENT_COUNT,TOTAL_STUDENTS_YEAR,PCT_OF_YEAR,REGIONAL_POPULATION,STUDENTS_PER_100K_INHABITANTS
2023,Grand Est,35-39 ans,F,2,1150,0.17,173030.0,1.1559
2023,Hauts-de-France,45-49 ans,Non renseigné,1,1150,0.09,,
2022,Bretagne,50-54 ans,Non renseigné,1,1696,0.06,,
2024,DROM,40-44 ans,F,1,850,0.12,,
2025,Centre-Val de Loire,45-49 ans,M,2,951,0.21,,
2025,Nouvelle-Aquitaine,25-29 ans,Non renseigné,2,951,0.21,,
2025,Occitanie,20-24 ans,F,1,951,0.11,,
2024,Bretagne,20-24 ans,F,1,850,0.12,,
2025,Bourgogne-Franche-Comté,35-39 ans,F,2,951,0.21,,
2025,DROM,25-29 ans,Non renseigné,1,951,0.11,,
2025,Grand Est,45-49 ans,Non renseigné,1,951,0.11,,
2023,Normandie,40-44 ans,M,2,1150,0.17,99175.0,2.0166
2024,Provence-Alpes-Côte d'Azur,35-39 ans,F,1,850,0.12,,
2024,Bourgogne-Franche-Comté,40-44 ans,M,1,850,0.12,,
2024,Bretagne,45-49 ans,M,1,850,0.12,,
2024,Pays de la Loire,45-49 ans,M,1,850,0.12,,
2023,Provence-Alpes-Côte d'Azur,25-29 ans,F,2,1150,0.17,130512.0,1.5324
2024,Grand Est,35-39 ans,Non renseigné,3,850,0.35,,
2022,Pays de la Loire,40-44 ans,F,3,1696,0.18,122512.0,2.4487
2024,Île-de-France,50-54 ans,M,10,850,1.18,,
2025,Île-de-France,35-39 ans,F,35,951,3.68,,
2022,Bretagne,45-49 ans,F,1,1696,0.06,109122.0,0.9164
2025,Île-de-France,35-39 ans,Non renseigné,8,951,0.84,,
2022,Auvergne-Rhône-Alpes,60 ans ou plus,F,1,1696,0.06,5392352.0,0.0185
2023,Île-de-France,35-39 ans,Non renseigné,37,1150,3.22,,
2022,Île-de-France,25-29 ans,M,41,1696,2.42,405623.0,10.1079
2024,Grand Est,45-49 ans,Non renseigné,3,850,0.35,,
2022,Provence-Alpes-Côte d'Azur,35-39 ans,M,8,1696,0.47,146665.0,5.4546
2025,Hauts-de-France,25-29 ans,M,11,951,1.16,,
2022,Île-de-France,40-44 ans,M,47,1696,2.77,410374.0,11.453
