year,region,age_group,gender,population
2022,Hauts-de-France,25-29 ans,M,165777
2022,Hauts-de-France,30-34 ans,F,182729
2022,Hauts-de-France,30-34 ans,M,177538
2022,Hauts-de-France,35-39 ans,F,192849
2022,Hauts-de-France,35-39 ans,M,185157
2022,Hauts-de-France,40-44 ans,F,190388
2022,Hauts-de-France,40-44 ans,M,185046
2022,Hauts-de-France,45-49 ans,F,191831
2022,Hauts-de-France,45-49 ans,M,189420
2022,Hauts-de-France,50-54 ans,F,193617
2022,Hauts-de-France,50-54 ans,M,190939
2022,Hauts-de-France,55-59 ans,F,193729
2022,Hauts-de-France,55-59 ans,M,185906
2022,Hauts-de-France,60 ans ou plus,F,3939848
2022,Hauts-de-France,60 ans ou plus,M,3558972
2022,Normandie,20-24 ans,F,89766
2022,Normandie,20-24 ans,M,95279
2022,Normandie,25-29 ans,F,83774
2022,Normandie,25-29 ans,M,85152
2022,Normandie,30-34 ans,F,93847
2022,Normandie,30-34 ans,M,92068
2022,Normandie,35-39 ans,F,100758
2022,Normandie,35-39 ans,M,96799
2022,Normandie,40-44 ans,F,99566
2022,Normandie,40-44 ans,M,97403
2022,Normandie,45-49 ans,F,103327
2022,Normandie,45-49 ans,M,100623
2022,Normandie,50-54 ans,F,109023
2022,Normandie,50-54 ans,M,106287
2022,Normandie,55-59 ans,F,112288
2022,Normandie,55-59 ans,M,106738
2022,Normandie,60 ans ou plus,F,2254992
2022,Normandie,60 ans ou plus,M,2034983
2022,Nouvelle-Aquitaine,20-24 ans,F,155989
2022,Nouvelle-Aquitaine,20-24 ans,M,167084
2022,Nouvelle-Aquitaine,25-29 ans,F,148179
2022,Nouvelle-Aquitaine,25-29 ans,M,148076
2022,Nouvelle-Aquitaine,30-34 ans,F,166092
2022,Nouvelle-Aquitaine,30-34 ans,M,160209
2022,Nouvelle-Aquitaine,35-39 ans,F,179113
2022,Nouvelle-Aquitaine,35-39 ans,M,169282
2022,Nouvelle-Aquitaine,40-44 ans,F,187084
2022,Nouvelle-Aquitaine,40-44 ans,M,180389
2022,Nouvelle-Aquitaine,45-49 ans,F,197217
2022,Nouvelle-Aquitaine,45-49 ans,M,190053
2022,Nouvelle-Aquitaine,50-54 ans,F,208083
2022,Nouvelle-Aquitaine,50-54 ans,M,200075
2022,Nouvelle-Aquitaine,55-59 ans,F,212713
2022,Nouvelle-Aquitaine,55-59 ans,M,199567
2022,Nouvelle-Aquitaine,60 ans ou plus,F,4228976
2022,Nouvelle-Aquitaine,60 ans ou plus,M,3783570
2022,Occitanie,20-24 ans,F,165922
2022,Occitanie,20-24 ans,M,174985
2022,Occitanie,25-29 ans,F,157947
2022,Occitanie,25-29 ans,M,160022
2022,Occitanie,30-34 ans,F,173198
2022,Occitanie,30-34 ans,M,166149
2022,Occitanie,35-39 ans,F,182816
2022,Occitanie,35-39 ans,M,173353
2022,Occitanie,40-44 ans,F,189263
2022,Occitanie,40-44 ans,M,181892
2022,Occitanie,45-49 ans,F,192197
2022,Occitanie,45-49 ans,M,184643
2022,Occitanie,50-54 ans,F,204438
